Date : 2020-04-15 13:44:24
Directory : c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina
Total : 93 files,  2722 codes, 54 comments, 61 blanks, all 2837 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src\commands\configuration                                                               |          2 |        173 |          0 |          8 |        181 |
| src\commands\core                                                                        |          2 |         57 |          3 |          1 |         61 |
| src\commands\developer                                                                   |          3 |         86 |          0 |          1 |         87 |
| src\commands\economy                                                                     |          4 |        144 |          0 |         12 |        156 |
| src\commands\fun                                                                         |          3 |         39 |          0 |          4 |         43 |
| src\commands\interaction                                                                 |          4 |         52 |          0 |          4 |         56 |
| src\commands\moderation                                                                  |          2 |        110 |          0 |          2 |        112 |
| src\commands\profile                                                                     |          2 |         51 |          0 |          1 |         52 |
| src\commands\tamagotchi                                                                  |          4 |         23 |          0 |          2 |         25 |
| src\commands\utilties                                                                    |          2 |         53 |          0 |          2 |         55 |
| src\events                                                                               |          8 |        115 |          7 |          5 |        127 |
| src\hina                                                                                 |          1 |         35 |          0 |          4 |         39 |
| src\utils                                                                                |          2 |         27 |          0 |          0 |         27 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                 | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\README.md                                  | Markdown   |          1 |          0 |          0 |          1 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\bot.js                                | JavaScript |         14 |          1 |          0 |         15 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\administration\addrole.js    | JavaScript |         30 |          1 |          0 |         31 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\administration\removerole.js | JavaScript |         30 |          1 |          0 |         31 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\configuration\config.js      | JavaScript |        160 |          1 |          0 |        161 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\configuration\language.js    | JavaScript |         51 |          1 |          0 |         52 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\core\botinfo.js              | JavaScript |         30 |          1 |          0 |         31 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\core\help.js                 | JavaScript |         50 |          1 |          0 |         51 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\developer\devinfos.js        | JavaScript |         36 |          1 |          0 |         37 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\developer\restart.js         | JavaScript |         35 |          1 |          0 |         36 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\developer\update.js          | JavaScript |         52 |          1 |          0 |         53 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\economy\coins.js             | JavaScript |         43 |          1 |          0 |         44 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\economy\daily.js             | JavaScript |         60 |          1 |          0 |         61 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\economy\leaderboard.js       | JavaScript |         35 |          1 |          0 |         36 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\economy\weekly.js            | JavaScript |         60 |          1 |          0 |         61 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\fun\cat.js                   | JavaScript |         24 |          1 |          0 |         25 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\fun\dog.js                   | JavaScript |         24 |          1 |          0 |         25 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\fun\fox.js                   | JavaScript |         24 |          1 |          0 |         25 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\interaction\hug.js           | JavaScript |         25 |          1 |          0 |         26 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\interaction\kiss.js          | JavaScript |         25 |          1 |          0 |         26 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\interaction\poke.js          | JavaScript |         25 |          1 |          0 |         26 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\interaction\slap.js          | JavaScript |         25 |          1 |          0 |         26 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\moderation\ban.js            | JavaScript |         69 |          1 |          0 |         70 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\moderation\kick.js           | JavaScript |         69 |          1 |          0 |         70 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\profile\profile.js           | JavaScript |         52 |          1 |          0 |         53 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\profile\updateprofile.js     | JavaScript |         26 |          1 |          0 |         27 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\tamagotchi\buy.js            | JavaScript |          0 |          1 |          0 |          1 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\tamagotchi\inventory.js      | JavaScript |          0 |          1 |          0 |          1 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\tamagotchi\shop.js           | JavaScript |         20 |          1 |          0 |         21 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\tamagotchi\tamagotchi.js     | JavaScript |         25 |          1 |          0 |         26 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\utilties\guildinfo.js        | JavaScript |         39 |          1 |          0 |         40 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\commands\utilties\userinfo.js         | JavaScript |         43 |          1 |          0 |         44 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\config.json                           | JSON       |         10 |          0 |          0 |         10 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\events\guildMemberAdd.js              | JavaScript |         43 |          1 |          0 |         44 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\events\guildMemberRemove.js           | JavaScript |         37 |          1 |          0 |         38 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\events\message.js                     | JavaScript |         28 |          1 |          0 |         29 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\events\ready.js                       | JavaScript |         23 |          1 |          0 |         24 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\events\shardDisconnect.js             | JavaScript |         21 |          1 |          0 |         22 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\events\shardReady.js                  | JavaScript |         13 |          1 |          0 |         14 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\events\shardReconnecting.js           | JavaScript |         21 |          1 |          0 |         22 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\events\shardResume.js                 | JavaScript |         21 |          1 |          0 |         22 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\hina\HinaClient.js                    | JavaScript |         43 |          1 |          0 |         44 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\hina\Tamagotchis.js                   | JavaScript |          0 |          1 |          0 |          1 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\index.js                              | JavaScript |         44 |          1 |          0 |         45 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\language\de_de.json                   | JSON       |         40 |          0 |          0 |         40 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\language\en_us.json                   | JSON       |         41 |          0 |          0 |         41 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\utils\database.js                     | JavaScript |         11 |          1 |          0 |         12 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\utils\string.js                       | JavaScript |         29 |          1 |          0 |         30 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\package.json                               | JSON       |         21 |          0 |          1 |         22 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\bot.ts                                 | TypeScript |         12 |          0 |          7 |         19 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\administration\addrole.ts     | TypeScript |         17 |          0 |          0 |         17 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\administration\removerole.ts  | TypeScript |         17 |          0 |          0 |         17 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\configuration\config.ts       | TypeScript |        136 |          0 |          8 |        144 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\configuration\language.ts     | TypeScript |         37 |          0 |          0 |         37 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\core\botinfo.ts               | TypeScript |         19 |          0 |          1 |         20 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\core\help.ts                  | TypeScript |         38 |          3 |          0 |         41 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\developer\devinfos.ts         | TypeScript |         24 |          0 |          1 |         25 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\developer\restart.ts          | TypeScript |         23 |          0 |          0 |         23 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\developer\update.ts           | TypeScript |         39 |          0 |          0 |         39 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\economy\coins.ts              | TypeScript |         29 |          0 |          1 |         30 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\economy\daily.ts              | TypeScript |         46 |          0 |          5 |         51 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\economy\leaderboard.ts        | TypeScript |         23 |          0 |          1 |         24 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\economy\weekly.ts             | TypeScript |         46 |          0 |          5 |         51 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\fun\cat.ts                    | TypeScript |         13 |          0 |          1 |         14 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\fun\dog.ts                    | TypeScript |         13 |          0 |          2 |         15 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\fun\fox.ts                    | TypeScript |         13 |          0 |          1 |         14 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\interaction\hug.ts            | TypeScript |         13 |          0 |          1 |         14 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\interaction\kiss.ts           | TypeScript |         13 |          0 |          1 |         14 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\interaction\poke.ts           | TypeScript |         13 |          0 |          1 |         14 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\interaction\slap.ts           | TypeScript |         13 |          0 |          1 |         14 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\moderation\ban.ts             | TypeScript |         55 |          0 |          1 |         56 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\moderation\kick.ts            | TypeScript |         55 |          0 |          1 |         56 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\profile\profile.ts            | TypeScript |         37 |          0 |          0 |         37 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\profile\updateprofile.ts      | TypeScript |         14 |          0 |          1 |         15 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\tamagotchi\buy.ts             | TypeScript |          0 |          0 |          1 |          1 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\tamagotchi\inventory.ts       | TypeScript |          0 |          0 |          1 |          1 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\tamagotchi\shop.ts            | TypeScript |          9 |          0 |          0 |          9 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\tamagotchi\tamagotchi.ts      | TypeScript |         14 |          0 |          0 |         14 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\utilties\guildinfo.ts         | TypeScript |         26 |          0 |          0 |         26 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\utilties\userinfo.ts          | TypeScript |         27 |          0 |          2 |         29 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\events\guildMemberAdd.ts               | TypeScript |         29 |          0 |          0 |         29 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\events\guildMemberRemove.ts            | TypeScript |         23 |          0 |          0 |         23 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\events\message.ts                      | TypeScript |         17 |          0 |          5 |         22 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\events\ready.ts                        | TypeScript |         13 |          0 |          0 |         13 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\events\shardDisconnect.ts              | TypeScript |         10 |          0 |          0 |         10 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\events\shardReady.ts                   | TypeScript |          3 |          7 |          0 |         10 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\events\shardReconnecting.ts            | TypeScript |         10 |          0 |          0 |         10 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\events\shardResume.ts                  | TypeScript |         10 |          0 |          0 |         10 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\hina\HinaClient.ts                     | TypeScript |         35 |          0 |          4 |         39 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\index.ts                               | TypeScript |         43 |          0 |          6 |         49 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\utils\database.ts                      | TypeScript |          9 |          0 |          0 |          9 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\utils\string.ts                        | TypeScript |         18 |          0 |          0 |         18 |
| c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\tsconfig.json                              | JSON       |         20 |          0 |          1 |         21 |
| Total                                                                                    |            |      2,722 |         54 |         61 |      2,837 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
